name,type,etc,etc2,longitude,latitude,joindate,outdate
입장료 안내판,안내판,206547.92,594084.92,127.0744962,37.94668547,12/29/2015 10:04:00 AM,01/04/2016 08:03:45 PM
거리안내판,안내판,206943.09,594027.7,127.0789915,37.94616703,12/28/2015 03:56:45 PM,
거리안내판,안내판,207238.01,594000.57,127.0823466,37.9459203,12/21/2015 10:31:00 AM,
자재암안내도,안내판,207269.89,593975.51,127.082709,37.94569427,12/29/2015 12:43:00 PM,
등산로안내판,안내판,207326.58,593936.7,127.0833536,37.94534416,12/22/2015 01:06:00 PM,01/04/2016 08:03:45 PM
등산로안내판,안내판,207342.37,593902.01,127.0835329,37.9450315,12/24/2015 03:48:00 PM,
방향표지판,안내판,207317.79,593690.36,127.0832511,37.94312487,01/05/2016 03:25:00 PM,
고도안내판,안내판,206911,593156.6,127.0786181,37.9383192,01/05/2016 03:15:47 PM,
분기점표지판,안내판,207440.93,593059.45,127.0846454,37.93743976,12/22/2015 03:14:22 PM,
거리안내판,안내판,207693.18,593118.42,127.0875156,37.93796894,12/27/2015 08:08:39 AM,
거리안내판,안내판,207733.83,593169.57,127.0879786,37.93842943,01/05/2016 01:02:04 PM,
정상표지판,안내판,207915.28,593277.76,127.0900439,37.93940259,12/28/2015 01:07:00 PM,
방향표시판,안내판,207857.79,593889.32,127.0893966,37.94491286,12/23/2015 10:14:00 AM,
방향표지판,안내판,207677.92,593959.76,127.087351,37.94554902,12/21/2015 06:31:00 AM,
119안내판,안내판,207661.87,593966.92,127.0871684,37.94561366,12/22/2015 07:12:31 AM,
119안내판,안내판,208043.4,593358.07,127.0915023,37.94012501,01/04/2016 11:20:33 AM,
안내판,안내판,208186.58,593518.45,127.0931329,37.94156866,12/22/2015 10:11:00 AM,
119안내판,안내판,208392.2,593697.89,127.0954742,37.94318342,12/23/2015 09:59:00 AM,
119안내판,안내판,208465.06,593988.29,127.0963065,37.94579907,12/28/2015 10:46:46 AM,01/04/2016 08:03:45 PM
방향표지판,안내판,208444.87,594262.7,127.09608,37.94827152,12/23/2015 10:07:25 AM,
119안내판,안내판,208409.45,594303.23,127.0956775,37.94863699,12/23/2015 05:14:00 PM,
고도표지판,안내판,207849.15,594260.17,127.0893023,37.94825406,01/02/2016 03:20:54 AM,
119안내판,안내판,207788.47,593984.7,127.0886089,37.94577277,12/23/2015 04:28:00 PM,
위험구간시작,안내판,206962.79,593139.26,127.0792071,37.93816259,01/05/2016 03:02:56 PM,
위험구간끝,안내판,207032.57,593108.57,127.0800006,37.93788555,12/22/2015 05:40:13 AM,
위험구간시작점,안내판,207738.25,593910.89,127.0880368,37.94510822,01/05/2016 03:00:00 PM,
위험구간중간,안내판,207718.62,593903.82,127.0878134,37.94504469,01/03/2016 03:55:04 PM,
위험구간끝점,안내판,207706.18,593906.89,127.0876719,37.94507246,12/27/2015 04:37:13 PM,
위험지역시작,안내판,208228.7,593571.32,127.0936127,37.9420446,01/04/2016 10:54:00 AM,
위험지역중간,안내판,208239.67,593592.1,127.0937377,37.94223172,12/21/2015 12:24:00 PM,
위험지역끝,안내판,208256.22,593603.39,127.0939261,37.94233328,12/31/2015 10:32:00 AM,
위험지역,안내판,208287.59,593628.35,127.0942833,37.94255787,12/29/2015 08:08:15 AM,
위험지역,안내판,208334.73,593652.29,127.0948199,37.94277312,01/01/2016 09:06:00 PM,
위험지역,안내판,208385.26,593685.42,127.0953951,37.94307114,01/04/2016 12:11:00 PM,
위험지역,안내판,208426.11,593734.17,127.0958604,37.94350997,01/04/2016 09:31:51 AM,
위험지역,안내판,208440.81,593771.04,127.0960281,37.94384201,12/31/2015 09:56:00 AM,
위험지역,안내판,208446.22,593797.1,127.0960899,37.94407674,01/02/2016 08:07:17 AM,
위험지역,안내판,208474.06,593887.2,127.0964077,37.94488823,12/22/2015 09:10:27 PM,
위험지역,안내판,208479.47,593926.98,127.0964697,37.94524657,01/05/2016 02:28:53 PM,
위험지대,안내판,208237.47,594266.23,127.0937204,37.94830522,12/29/2015 07:21:13 PM,
위험지대,안내판,208213.59,594274.32,127.0934488,37.94837832,12/31/2015 10:17:57 AM,
위험지대,안내판,208144.12,594266.98,127.0926583,37.94831282,12/23/2015 10:10:51 PM,
위험지역,안내판,207823.26,594127.61,127.0890063,37.94706,01/04/2016 07:39:00 AM,
위험지역,안내판,207830.12,594021.95,127.0890832,37.94610801,12/29/2015 07:42:18 AM,
위험지역,안내판,207810.01,594001.29,127.0888542,37.94592205,12/23/2015 10:06:00 AM,
위험지대,안내판,208187.22,593522.01,127.0931402,37.94160072,01/05/2016 04:29:59 PM,
이정표,안내판,242498.03,600655.56,127.4838842,38.00491063,12/22/2015 09:18:00 AM,
안내판,안내판,239701.38,598720.31,127.4519354,37.98760263,01/04/2016 03:46:00 PM,
이정표,안내판,240008.46,599362.4,127.4554667,37.99337375,12/27/2015 07:18:35 PM,01/04/2016 08:03:45 PM
이정표,안내판,240424.85,600232.59,127.4602558,38.00119485,12/28/2015 12:45:15 PM,
이정표,안내판,240745.29,600299.65,127.4639079,38.00178465,12/29/2015 09:44:00 PM,
이정표,안내판,241181.62,600376.43,127.46888,38.00245666,12/22/2015 07:28:43 PM,
이정표,안내판,241519.97,600719.12,127.472752,38.00552853,12/22/2015 03:23:00 PM,01/04/2016 08:03:45 PM
이정표,안내판,242486.93,600660.15,127.4837581,38.0049525,12/30/2015 08:42:00 AM,
이정표,안내판,242308.31,600281.81,127.4817021,38.00155239,12/23/2015 09:57:00 AM,
이정표,안내판,242163.2,599768.02,127.4800198,37.99693042,12/22/2015 12:42:10 PM,01/04/2016 08:03:45 PM
이정표,안내판,241838.54,599684.21,127.4763189,37.99619041,12/29/2015 10:49:05 AM,
이정표,안내판,241328.56,599174.03,127.4704837,37.99161757,12/23/2015 04:14:00 PM,
이정표,안내판,240521.79,598817.34,127.4612796,37.98844052,12/28/2015 12:31:00 PM,01/01/2016 05:38:23 PM
이정표,안내판,240118.59,598685.28,127.4566826,37.9872687,12/23/2015 09:25:59 AM,
이정표,안내판,240585.79,599536.71,127.4620488,37.99491847,01/01/2016 10:31:51 AM,
(좌) 흥룡사입구,안내판,236013.47,607953.69,127.4104194,38.07094013,01/03/2016 04:34:00 PM,
갈림길,안내판,238383.28,606768.5,127.4373622,38.06016543,01/05/2016 10:10:00 AM,
갈림길,안내판,238508.61,606718.1,127.4387875,38.05970606,12/22/2015 09:39:52 AM,
갈림길,안내판,238520.64,606708.35,127.4389241,38.05961771,12/23/2015 08:27:00 PM,
갈림길,안내판,238519.33,606705.53,127.438909,38.05959236,01/01/2016 05:38:23 PM,
갈림길,안내판,238521.65,606701.91,127.4389352,38.05955965,01/03/2016 08:43:00 PM,
갈림길,안내판,238529.62,606684,127.4390251,38.05939796,12/28/2015 09:18:00 AM,
갈림길,안내판,238538.47,606677.19,127.4391255,38.05933623,01/04/2016 11:21:30 AM,
갈림길,안내판,238537.75,606684.03,127.4391177,38.05939788,12/23/2015 12:51:00 PM,
팔각정,쉼터,236202.33,607886.72,127.4125683,38.07032927,12/28/2015 09:02:00 AM,
팔각정,쉼터,236356.14,607737.07,127.4143135,38.06897491,12/30/2015 09:13:43 AM,
백운산정상2.4km,안내판,239004.09,610073.53,127.4446161,38.08991361,01/05/2016 02:28:45 PM,
백운산정상1.5km,안내판,239134.77,609530.5,127.446076,38.08501587,01/05/2016 08:23:56 AM,
백운산정상0.9km,안내판,239222.8,609025.16,127.4470516,38.0804595,01/03/2016 02:27:18 PM,
위험안내,안내판,239179.8,608748.63,127.4465464,38.07797013,12/28/2015 03:09:44 PM,
(우) 흥룡봉 3.8km,안내판,236788.92,607920.97,127.4192548,38.07061417,01/04/2016 10:05:00 AM,
구간통제안내판,통제구역,235950.39,608057.72,127.4097058,38.07187984,12/28/2015 09:16:44 PM,
백운산3.53km,안내판,236226.08,607867.03,127.4128379,38.07015093,12/21/2015 02:45:00 PM,
안내도,안내판,236377.98,607745.13,127.4145628,38.06904665,01/02/2016 10:26:00 AM,
백운산3.5km,안내판,236421.53,607744.44,127.415059,38.06903868,12/24/2015 08:53:00 AM,
백운산1km,안내판,239212.03,607594.97,127.4468505,38.06757552,12/21/2015 08:02:00 AM,
(전방) 백운산정상,안내판,239013.56,610907.44,127.4447695,38.09742579,12/21/2015 04:28:35 PM,
(전방)가리산,안내판,239129.56,609585.35,127.4460196,38.08551023,12/23/2015 09:39:00 AM,01/01/2016 05:38:23 PM
(전방)도마치봉,안내판,238343.19,608524.85,127.4369995,38.07598996,12/23/2015 02:19:00 PM,
(좌)조망점(우)등산로,안내판,237714.11,608172.57,127.4298114,38.07284273,01/04/2016 12:12:25 PM,
(좌)조망점(우)등산로,안내판,237529.31,606523.69,127.4276189,38.05799575,12/23/2015 02:10:45 PM,
(전방) 백운산정상,안내판,236462.5,607566.44,127.4155168,38.06743343,12/23/2015 12:52:00 PM,
(전방)가리산,안내판,236614.65,606900.66,127.4172166,38.06142931,01/05/2016 10:24:49 AM,
(전방)도마치봉,안내판,237247.26,606496.31,127.4244038,38.05776073,12/23/2015 10:06:00 AM,
(좌)백운산(우)흥룡봉,안내판,237538.97,606510.6,127.4277283,38.05787742,12/23/2015 08:43:00 AM,
쉼터,쉼터,239362.44,593205.43,127.4477754,37.93793342,01/04/2016 03:50:28 AM,
119신고안내,안내판,242608.63,593064.99,127.4846936,37.93652187,12/22/2015 07:19:09 AM,
119신고안내,안내판,239449.44,593085.4,127.4487585,37.93684828,01/04/2016 09:38:05 AM,
구조신고안내,안내판,236921.11,591579.27,127.4199209,37.92338549,12/31/2015 02:00:58 PM,
구조신고안내,안내판,237022.21,591917.18,127.4210881,37.92642566,12/20/2015 02:49:32 PM,
구조신고안내,안내판,237240.1,592263.15,127.4235842,37.92953367,12/28/2015 04:35:29 PM,01/01/2016 05:38:23 PM
산악구조신고안내,안내판,228614.59,610778.04,127.3262142,38.09664894,12/28/2015 02:39:30 PM,
